 Verbrauch
 Zeit, Wh 
  01.Aug , 1363.29 
  02.Aug , 2596.5 
  03.Aug , 3572.16 
  04.Aug , 1889.21 
  05.Aug , 682.14 
  06.Aug , 1757.17 
  07.Aug , 2030.43 
  08.Aug , 2830.23 
  09.Aug , 845.77 
  10.Aug , 3496.44 
  11.Aug , 3649.01 
  12.Aug , 2967.77 
  13.Aug , 3179.72 
  14.Aug , 3414.04 
  15.Aug , 1521.92 
  16.Aug , 1511.12 
  17.Aug , 3413.26 
  18.Aug , 3525.14 
  19.Aug , 3394.84 
  20.Aug , 3577.62 
  21.Aug , 3511.59 
  22.Aug , 2656.19 
  23.Aug , 3377.28 
  24.Aug , 3376.59 
  25.Aug , 2267.05 
  26.Aug , 2062.61 
  27.Aug , 556.37 
  28.Aug , 743.91 
  29.Aug , 693.81 
  30.Aug , 2048.36 
  31.Aug , 2043.19
  27.Aug , 43.63 
