 Verbrauch
 Zeit, Wh 
  01/01/2024 00:00 , 279.15 
  02/01/2024 00:00 , 38.35 
  03/01/2024 00:00 , 154.27 
  04/01/2024 00:00 , 162.9 
  05/01/2024 00:00 , 135.4 
  06/01/2024 00:00 , 40.22 
  07/01/2024 00:00 , 61 
  08/01/2024 00:00 , 40.4 
  09/01/2024 00:00 , 184.64 
  10/01/2024 00:00 , 124.44 
  11/01/2024 00:00 , 156 
  12/01/2024 00:00 , 105.25 
  13/01/2024 00:00 , 50.75 
  14/01/2024 00:00 , 404.67 
  15/01/2024 00:00 , 550.15 
  16/01/2024 00:00 , 305.7 
  17/01/2024 00:00 , 1025.67 
  18/01/2024 00:00 , 554.55 
  19/01/2024 00:00 , 687.2 
  20/01/2024 00:00 , 862.93 
  21/01/2024 00:00 , 1383.3 
  22/01/2024 00:00 , 103.48 
  23/01/2024 00:00 , 124.95 
  24/01/2024 00:00 , 197.67 
  25/01/2024 00:00 , 268.74 
  26/01/2024 00:00 , 1287.31 
  27/01/2024 00:00 , 1005.06 
  28/01/2024 00:00 , 1057.11 
  29/01/2024 00:00 , 1030.79 
  30/01/2024 00:00 , 798.21 
  31/01/2024 00:00 , 526.38
