 Verbrauch
 Zeit, Wh 
  01/01/2024 00:00 , 74.98 
  02/01/2024 00:00 , 35.34 
  03/01/2024 00:00 , 70.26 
  04/01/2024 00:00 , 81.66 
  05/01/2024 00:00 , 77.95 
  06/01/2024 00:00 , 41.13 
  07/01/2024 00:00 , 53.17 
  08/01/2024 00:00 , 20.7 
  09/01/2024 00:00 , 11.76 
  10/01/2024 00:00 , 28.34 
  11/01/2024 00:00 , 33.26 
  12/01/2024 00:00 , 30.83 
  13/01/2024 00:00 , 16.75 
  14/01/2024 00:00 , 40.03 
  15/01/2024 00:00 , 67.15 
  16/01/2024 00:00 , 114.62 
  17/01/2024 00:00 , 43.13 
  18/01/2024 00:00 , 81.46 
  19/01/2024 00:00 , 49.05 
  20/01/2024 00:00 , 34.9 
  21/01/2024 00:00 , 73.75 
  22/01/2024 00:00 , 74.27 
  23/01/2024 00:00 , 78.95 
  24/01/2024 00:00 , 79.32 
  25/01/2024 00:00 , 109.82 
  26/01/2024 00:00 , 85.89 
  27/01/2024 00:00 , 60.89 
  28/01/2024 00:00 , 59.59 
  29/01/2024 00:00 , 67.61 
  30/01/2024 00:00 , 88.35 
  31/01/2024 00:00 , 80.77
